name,platform,year_of_release,genre,publisher,na_sales,eu_sales,jp_sales,other_sales,global_sales,user_score,developer,rating,sales_category,game_age,game_age_category
Super Mario Bros. 3,NES,1988,Platform,nintendo,9.54,3.44,3.84,0.46,17.28,7.5,unknown,E,low,38,old
Grand Theft Auto V,X360,2013,Action,take two interactive,9.66,5.14,0.06,1.41,16.27,8.1,Rockstar North,M,low,13,recent
Grand Theft Auto: Vice City,PS2,2002,Action,take two interactive,8.41,5.49,0.47,1.78,16.15,8.7,Rockstar North,M,low,24,old
Pokemon Ruby/Pokemon Sapphire,GBA,2002,Role-Playing,nintendo,6.06,3.90,5.38,0.50,15.85,7.5,unknown,E,low,24,old
Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,nintendo,3.43,5.35,5.32,1.18,15.29,7.1,Nintendo,E,low,21,old
Pokemon Black/Pokemon White,DS,2010,Role-Playing,nintendo,5.51,3.17,5.65,0.80,15.14,7.5,unknown,E,low,16,old
Gran Turismo 3: A-Spec,PS2,2001,Racing,sony computer entertainment,6.85,5.09,1.87,1.16,14.98,8.4,Polyphony Digital,E,low,25,old
Call of Duty: Modern Warfare 3,X360,2011,Shooter,activision,9.04,4.24,0.13,1.32,14.73,3.4,"Infinity Ward, Sledgehammer Games",M,low,15,old
Pokémon Yellow: Special Pikachu Edition,GB,1998,Role-Playing,nintendo,5.89,5.04,3.12,0.59,14.64,7.5,unknown,E,low,28,old
Call of Duty: Black Ops 3,PS4,2015,Shooter,activision,6.03,5.86,0.36,2.38,14.63,7.5,unknown,E,low,11,recent
Call of Duty: Black Ops,X360,2010,Shooter,activision,9.70,3.68,0.11,1.13,14.61,6.3,Treyarch,M,low,16,old
Pokemon X/Pokemon Y,3DS,2013,Role-Playing,nintendo,5.28,4.19,4.35,0.78,14.6,7.5,unknown,E,low,13,recent
Call of Duty: Black Ops II,PS3,2012,Shooter,activision,4.99,5.73,0.65,2.42,13.79,5.3,Treyarch,M,low,14,recent
Call of Duty: Black Ops II,X360,2012,Shooter,activision,8.25,4.24,0.07,1.12,13.67,4.8,Treyarch,M,low,14,recent
Call of Duty: Modern Warfare 2,X360,2009,Shooter,activision,8.52,3.59,0.08,1.28,13.47,6.3,Infinity Ward,M,low,17,old
Call of Duty: Modern Warfare 3,PS3,2011,Shooter,activision,5.54,5.73,0.49,1.57,13.32,3.2,"Infinity Ward, Sledgehammer Games",M,low,15,old
Grand Theft Auto III,PS2,2001,Action,take two interactive,6.99,4.51,0.30,1.30,13.1,8.5,DMA Design,M,low,25,old
Super Smash Bros. Brawl,Wii,2008,Fighting,nintendo,6.62,2.55,2.66,1.01,12.84,8.9,Game Arts,T,low,18,old
Mario Kart 7,3DS,2011,Racing,nintendo,5.03,4.02,2.69,0.91,12.66,8.2,"Retro Studios, Entertainment Analysis & Development Division",E,low,15,old
Call of Duty: Black Ops,PS3,2010,Shooter,activision,5.99,4.37,0.48,1.79,12.63,6.4,Treyarch,M,low,16,old
Grand Theft Auto V,PS4,2014,Action,take two interactive,3.96,6.31,0.38,1.97,12.61,8.3,Rockstar North,M,low,12,recent
Animal Crossing: Wild World,DS,2005,Simulation,nintendo,2.50,3.45,5.33,0.86,12.13,8.7,Nintendo,E,low,21,old
Halo 3,X360,2007,Shooter,microsoft game studios,7.97,2.81,0.13,1.21,12.12,7.8,"Bungie Software, Bungie",M,low,19,old
Super Mario 64,N64,1996,Platform,nintendo,6.91,2.85,1.91,0.23,11.89,7.5,unknown,E,low,30,old
Pokemon HeartGold/Pokemon SoulSilver,DS,2009,Action,nintendo,4.34,2.71,3.96,0.76,11.77,7.5,unknown,E,low,17,old
Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Role-Playing,nintendo,4.35,3.49,3.10,0.74,11.68,7.5,unknown,E,low,12,recent
Gran Turismo 4,PS2,2004,Racing,sony computer entertainment,3.01,0.01,1.10,7.53,11.66,8.5,Polyphony Digital,E,low,22,old
Super Mario Galaxy,Wii,2007,Platform,nintendo,6.06,3.35,1.20,0.74,11.35,8.9,Nintendo,E,low,19,old
Super Mario Land 2: 6 Golden Coins,GB,1992,Adventure,nintendo,6.16,2.04,2.69,0.29,11.18,7.5,unknown,E,low,34,old
Grand Theft Auto IV,X360,2008,Action,take two interactive,6.76,3.07,0.14,1.03,11.01,7.9,Rockstar North,M,low,18,old
Gran Turismo,PS,1997,Racing,sony computer entertainment,4.02,3.87,2.54,0.52,10.95,8.7,Polyphony Digital,E,low,29,old
Super Mario 3D Land,3DS,2011,Platform,nintendo,4.89,3.00,2.14,0.78,10.81,8.4,Nintendo,E,low,15,old
Gran Turismo 5,PS3,2010,Racing,sony computer entertainment,2.96,4.82,0.81,2.11,10.7,7.5,Polyphony Digital,E,low,16,old
Call of Duty: Modern Warfare 2,PS3,2009,Shooter,activision,4.99,3.64,0.38,1.60,10.6,6.3,Infinity Ward,M,low,17,old
Super Mario All-Stars,SNES,1993,Platform,nintendo,5.99,2.15,2.12,0.29,10.55,7.5,unknown,E,low,33,old
Grand Theft Auto IV,PS3,2008,Action,take two interactive,4.76,3.69,0.44,1.61,10.5,7.5,Rockstar North,M,low,18,old
Pokemon FireRed/Pokemon LeafGreen,GBA,2004,Role-Playing,nintendo,4.34,2.65,3.15,0.35,10.49,7.5,unknown,E,low,22,old
Super Mario 64,DS,2004,Platform,nintendo,5.01,3.07,1.25,0.97,10.3,7.5,unknown,E,low,22,old
Call of Duty: Ghosts,X360,2013,Shooter,activision,6.73,2.56,0.04,0.91,10.25,2.6,Infinity Ward,M,low,13,recent
Just Dance 3,Wii,2011,Misc,ubisoft,5.95,3.11,0.00,1.06,10.12,7.8,Ubisoft,E10+,low,15,old
New Super Mario Bros. 2,3DS,2012,Platform,nintendo,3.66,3.14,2.47,0.63,9.9,7.2,Nintendo,E,low,14,recent
Mario Kart 64,N64,1996,Racing,nintendo,5.55,1.94,2.23,0.15,9.87,7.5,unknown,E,low,30,old
Halo: Reach,X360,2010,Shooter,microsoft game studios,7.04,1.95,0.08,0.79,9.86,7.9,Bungie,M,low,16,old
Final Fantasy VII,PS,1997,Role-Playing,sony computer entertainment,3.01,2.47,3.28,0.96,9.72,9.2,SquareSoft,T,low,29,old
Halo 4,X360,2012,Shooter,microsoft game studios,6.65,2.28,0.04,0.74,9.71,7.0,343 Industries,M,low,14,recent
Gran Turismo 2,PS,1999,Racing,sony computer entertainment,3.88,3.42,1.69,0.50,9.49,9.0,Polyphony Digital,T,low,27,old
Just Dance 2,Wii,2010,Misc,ubisoft,5.80,2.85,0.01,0.78,9.44,7.3,Ubisoft,E10+,low,16,old
Call of Duty: Ghosts,PS3,2013,Shooter,activision,4.10,3.63,0.38,1.25,9.36,2.6,Infinity Ward,M,low,13,recent
Call of Duty 4: Modern Warfare,X360,2007,Shooter,activision,5.93,2.36,0.13,0.90,9.31,8.4,Infinity Ward,M,low,19,old
Donkey Kong Country,SNES,1994,Platform,nintendo,4.36,1.71,3.00,0.23,9.3,7.5,unknown,E,low,32,old
Minecraft,X360,2013,Misc,microsoft game studios,5.70,2.65,0.02,0.81,9.18,7.5,unknown,E,low,13,recent
Animal Crossing: New Leaf,3DS,2012,Simulation,nintendo,2.03,2.36,4.39,0.39,9.16,8.7,Nintendo,E,low,14,recent
Mario Party DS,DS,2007,Misc,nintendo,4.40,1.85,1.98,0.68,8.91,7.8,Hudson Soft,E,low,19,old
The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,bethesda softworks,5.05,2.79,0.10,0.85,8.79,8.4,Bethesda Game Studios,M,low,15,old
Super Mario Kart,SNES,1992,Racing,nintendo,3.54,1.24,3.81,0.18,8.76,7.5,unknown,E,low,34,old
FIFA 16,PS4,2015,Sports,electronic arts,1.12,6.12,0.06,1.28,8.57,4.3,EA Sports,E,low,11,recent
Halo 2,XB,2004,Shooter,microsoft game studios,6.82,1.53,0.05,0.08,8.49,8.2,Bungie Software,M,low,22,old
Wii Party,Wii,2010,Misc,nintendo,1.75,3.47,2.49,0.67,8.38,7.4,Nd Cube,E,low,16,old
Mario Party 8,Wii,2007,Misc,nintendo,3.74,2.24,1.58,0.70,8.27,6.3,Hudson,E,low,19,old
FIFA Soccer 13,PS3,2012,Action,electronic arts,1.06,5.01,0.13,1.97,8.16,6.6,Electronic Arts,E,low,14,recent
GoldenEye 007,N64,1997,Shooter,nintendo,5.80,2.01,0.13,0.15,8.09,7.5,unknown,E,low,29,old
Pokemon Black 2/Pokemon White 2,DS,2012,Role-Playing,nintendo,2.79,1.72,3.14,0.41,8.07,7.5,unknown,E,low,14,recent
Final Fantasy X,PS2,2001,Role-Playing,sony computer entertainment,2.91,2.07,2.73,0.33,8.05,8.7,SquareSoft,T,low,25,old
The Sims 3,PC,2009,Simulation,electronic arts,0.99,6.42,0.00,0.60,8.01,7.6,The Sims Studio,T,low,17,old
Mario & Sonic at the Olympic Games,Wii,2007,Sports,sega,2.57,3.86,0.66,0.91,7.99,7.5,unknown,E,low,19,old
Star Wars Battlefront (2015),PS4,2015,Shooter,electronic arts,2.99,3.49,0.22,1.28,7.98,7.5,unknown,E,low,11,recent
Final Fantasy VIII,PS,1999,Role-Playing,squaresoft,2.28,1.72,3.63,0.23,7.86,8.6,SquareSoft,T,low,27,old
Pac-Man,2600,1982,Puzzle,atari,7.28,0.45,0.00,0.08,7.81,7.5,unknown,E,low,44,old
Pokémon Platinum Version,DS,2008,Role-Playing,nintendo,2.76,1.72,2.69,0.54,7.72,8.5,Game Freak,E,low,18,old
Grand Theft Auto: Liberty City Stories,PSP,2005,Action,take two interactive,2.90,2.81,0.24,1.73,7.69,7.6,Rockstar Leeds,M,low,21,old
Call of Duty: Advanced Warfare,PS4,2014,Shooter,activision,2.81,3.48,0.14,1.23,7.66,5.7,Sledgehammer Games,M,low,12,recent
The Legend of Zelda: Ocarina of Time,N64,1998,Action,nintendo,4.10,1.89,1.45,0.16,7.6,7.5,unknown,E,low,28,old
FIFA 17,PS4,2016,Sports,electronic arts,0.66,5.75,0.08,1.11,7.59,5.0,"EA Sports, EA Vancouver",E,low,10,recent
Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Platform,sony computer entertainment,3.78,2.17,1.31,0.31,7.58,7.5,unknown,E,low,29,old
Super Smash Bros. for Wii U and 3DS,3DS,2014,Fighting,nintendo,3.27,1.37,2.43,0.48,7.55,7.5,unknown,E,low,12,recent
Super Mario Galaxy 2,Wii,2010,Platform,nintendo,3.56,2.35,0.98,0.62,7.51,9.1,Nintendo EAD Tokyo,E,low,16,old
Super Mario Bros. 2,NES,1988,Platform,nintendo,5.39,1.18,0.70,0.19,7.46,7.5,unknown,E,low,38,old
Call of Duty: Black Ops 3,XOne,2015,Shooter,activision,4.59,2.11,0.01,0.68,7.39,7.5,unknown,E,low,11,recent
Call of Duty: World at War,X360,2008,Shooter,activision,4.81,1.88,0.00,0.69,7.38,7.6,Treyarch,M,low,18,old
Battlefield 3,X360,2011,Shooter,electronic arts,4.46,2.11,0.06,0.69,7.32,7.4,EA DICE,M,low,15,old
Need for Speed Underground,PS2,2003,Racing,electronic arts,3.27,2.83,0.08,1.02,7.2,8.6,EA Black Box,E,low,23,old
Just Dance,Wii,2009,Misc,ubisoft,3.48,2.99,0.00,0.73,7.2,8.0,Ubisoft Paris,E10+,low,17,old
Battlefield 3,PS3,2011,Shooter,electronic arts,2.85,2.89,0.35,1.08,7.17,7.5,EA DICE,M,low,15,old
Fallout 4,PS4,2015,Role-Playing,bethesda softworks,2.53,3.27,0.24,1.13,7.16,6.5,Bethesda Game Studios,M,low,11,recent
Tekken 3,PS,1998,Fighting,sony computer entertainment,3.27,2.22,1.40,0.29,7.16,9.1,Namco,T,low,28,old
The Legend of Zelda: Twilight Princess,Wii,2006,Action,nintendo,3.74,2.14,0.60,0.68,7.15,9.0,Nintendo,T,low,20,old
Pokemon Sun/Moon,3DS,2016,Role-Playing,nintendo,2.98,1.45,2.26,0.45,7.14,7.5,unknown,E,low,10,recent
Crash Bandicoot 3: Warped,PS,1998,Platform,sony computer entertainment,3.68,1.75,1.42,0.28,7.13,8.9,Naughty Dog,E,low,28,old
Mario Kart 8,WiiU,2014,Racing,nintendo,3.15,2.15,1.28,0.51,7.09,9.1,Nintendo,E,low,12,recent
Super Smash Bros. Melee,GC,2001,Fighting,nintendo,4.41,1.04,1.39,0.22,7.07,9.1,HAL Labs,T,low,25,old
Mario Kart: Double Dash!!,GC,2003,Racing,nintendo,4.12,1.77,0.87,0.19,6.95,7.5,unknown,E,low,23,old
Need for Speed Underground 2,PS2,2004,Racing,electronic arts,2.71,3.02,0.08,1.09,6.9,8.6,EA Canada,E,low,22,old
Medal of Honor: Frontline,PS2,2002,Shooter,electronic arts,2.93,2.75,0.17,0.99,6.83,8.5,EA LA,T,low,24,old
Crash Bandicoot,PS,1996,Platform,sony computer entertainment,3.23,2.35,0.94,0.30,6.82,7.5,unknown,E,low,30,old
Just Dance 4,Wii,2012,Misc,ubisoft,4.05,2.16,0.00,0.55,6.76,7.3,Ubisoft,E10+,low,14,recent
Gears of War 2,X360,2008,Shooter,microsoft game studios,4.15,1.90,0.06,0.64,6.75,7.7,Epic Games,M,low,18,old
Uncharted 3: Drake's Deception,PS3,2011,Action,sony computer entertainment,2.77,2.75,0.19,1.03,6.74,8.3,Naughty Dog,T,low,15,old
Zumba Fitness,Wii,2010,Sports,505 games,3.45,2.59,0.00,0.66,6.71,7.5,"Pipeworks Software, Inc.",E,low,16,old
Call of Duty 4: Modern Warfare,PS3,2007,Shooter,activision,3.11,2.26,0.28,1.03,6.68,8.4,Infinity Ward,M,low,19,old
Uncharted 2: Among Thieves,PS3,2009,Action,sony computer entertainment,3.27,2.20,0.21,0.98,6.66,8.8,Naughty Dog,T,low,17,old
FIFA 12,PS3,2011,Sports,electronic arts,0.84,4.30,0.11,1.39,6.65,7.5,unknown,E,low,15,old
Big Brain Academy,DS,2005,Misc,nintendo,1.66,2.75,1.60,0.62,6.62,7.4,Nintendo,E,low,21,old
The Legend of Zelda,NES,1986,Action,nintendo,3.74,0.93,1.69,0.14,6.51,7.5,unknown,E,low,40,old
Red Dead Redemption,PS3,2010,Action,take two interactive,2.79,2.53,0.17,0.99,6.49,8.8,Rockstar San Diego,M,low,16,old
FIFA 14,PS3,2013,Sports,electronic arts,0.78,4.24,0.07,1.37,6.47,4.3,EA Canada,E,low,13,recent
Assassin's Creed III,PS3,2012,Action,ubisoft,2.64,2.52,0.16,1.12,6.45,6.9,Ubisoft,M,low,14,recent
Donkey Kong Country Returns,Wii,2010,Platform,nintendo,3.17,1.79,1.03,0.46,6.44,8.6,Retro Studios,E,low,16,old
Halo: Combat Evolved,XB,2001,Shooter,microsoft game studios,4.98,1.30,0.08,0.07,6.43,8.6,Bungie Software,M,low,25,old
The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,bethesda softworks,2.55,2.60,0.25,1.00,6.41,6.4,Bethesda Game Studios,M,low,15,old
Pokémon Emerald Version,GBA,2004,Role-Playing,nintendo,2.57,1.58,2.06,0.21,6.41,9.0,Game Freak,E,low,22,old
Kingdom Hearts,PS2,2002,Role-Playing,sony computer entertainment,3.64,1.20,1.49,0.07,6.4,8.8,SquareSoft,E,low,24,old
Pokémon Crystal Version,GB,2000,Role-Playing,nintendo,2.55,1.56,1.29,0.99,6.39,7.5,unknown,E,low,26,old
Halo 3: ODST,X360,2009,Shooter,microsoft game studios,4.34,1.34,0.06,0.61,6.34,7.1,"Bungie Software, Bungie",M,low,17,old
Red Dead Redemption,X360,2010,Action,take two interactive,3.70,1.95,0.09,0.58,6.32,9.0,Rockstar San Diego,M,low,16,old
Super Mario Sunshine,GC,2002,Platform,nintendo,4.01,1.26,0.87,0.17,6.31,8.6,Nintendo,E,low,24,old
Street Fighter II: The World Warrior,SNES,1992,Fighting,capcom,2.47,0.83,2.87,0.12,6.3,7.5,unknown,E,low,34,old
World of Warcraft,PC,2004,Role-Playing,activision,0.08,6.21,0.00,0.00,6.29,7.3,Blizzard Entertainment,T,low,22,old
Driver,PS,1999,Action,gt interactive,3.11,2.80,0.02,0.33,6.27,8.1,Reflections Interactive,T,low,27,old
Gears of War 3,X360,2011,Shooter,microsoft game studios,4.05,1.59,0.07,0.50,6.21,7.8,Epic Games,M,low,15,old
Kinect Sports,X360,2010,Sports,microsoft game studios,3.92,1.73,0.03,0.51,6.19,7.4,Rare Ltd.,E10+,low,16,old
Gears of War,X360,2006,Shooter,microsoft game studios,3.54,1.88,0.07,0.60,6.09,8.3,Epic Games,M,low,20,old
FIFA 15,PS4,2014,Sports,electronic arts,0.80,4.33,0.05,0.90,6.08,5.7,EA Sports,E,low,12,recent
Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,konami digital entertainment,2.45,2.01,0.87,0.72,6.05,8.7,KCEJ,M,low,25,old
Sonic the Hedgehog 2,GEN,1992,Platform,sega,4.47,1.20,0.16,0.19,6.03,7.5,unknown,E,low,34,old
Metal Gear Solid,PS,1998,Action,konami digital entertainment,3.18,1.83,0.78,0.24,6.03,9.4,KCEJ,M,low,28,old
Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,konami digital entertainment,2.63,1.71,0.83,0.82,5.99,8.7,Kojima Productions,M,low,18,old
Final Fantasy XII,PS2,2006,Role-Playing,square enix,1.88,0.00,2.33,1.74,5.95,7.6,Square Enix,T,low,20,old
The Last of Us,PS3,2013,Action,sony computer entertainment europe,2.41,2.18,0.28,0.99,5.87,9.1,Naughty Dog,M,low,13,recent
LittleBigPlanet,PS3,2008,Platform,sony computer entertainment,2.80,1.98,0.17,0.87,5.82,6.8,"SCE/WWS, Media Molecule",E,low,18,old
Resident Evil 2,PS,1998,Action,virgin interactive,1.88,1.47,2.02,0.45,5.82,9.2,Capcom,M,low,28,old
Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Role-Playing,nintendo,0.63,0.67,4.35,0.15,5.78,8.8,Level 5,E10+,low,17,old
Tekken 2,PS,1996,Fighting,sony computer entertainment,2.26,1.89,1.36,0.23,5.74,8.9,Namco,T,low,30,old
Destiny,PS4,2014,Shooter,activision,2.49,2.07,0.16,0.92,5.64,6.1,"Bungie Software, Bungie",T,low,12,recent
LEGO Star Wars: The Complete Saga,Wii,2007,Action,lucasarts,3.57,1.55,0.00,0.51,5.64,8.9,Traveller's Tales,E10+,low,19,old
Cooking Mama,DS,2006,Simulation,505 games,3.07,1.91,0.07,0.57,5.63,7.2,Taito Corporation,E,low,20,old
Tetris,NES,1988,Puzzle,nintendo,2.97,0.69,1.81,0.11,5.58,7.5,unknown,E,low,38,old
Super Smash Bros.,N64,1999,Fighting,nintendo,2.95,0.60,1.97,0.04,5.55,7.5,unknown,E,low,27,old
Assassin's Creed II,PS3,2009,Action,ubisoft,2.54,1.93,0.21,0.86,5.55,8.6,Ubisoft Montreal,M,low,17,old
Assassin's Creed,X360,2007,Adventure,ubisoft,3.28,1.64,0.07,0.56,5.54,7.7,Ubisoft Montreal,M,low,19,old
Forza Motorsport 3,X360,2009,Racing,microsoft game studios,2.99,1.90,0.10,0.50,5.49,8.0,Turn 10,E,low,17,old
Super Mario Advance,GBA,2001,Platform,nintendo,3.14,1.24,0.91,0.20,5.49,7.8,Nintendo,E,low,25,old
Monster Hunter Freedom Unite,PSP,2008,Role-Playing,capcom,0.47,0.55,4.13,0.34,5.48,8.7,Capcom,T,low,18,old
Batman: Arkham City,PS3,2011,Action,warner bros  interactive entertainment,2.71,1.85,0.11,0.81,5.48,8.6,Rocksteady Studios,T,low,15,old
Grand Theft Auto V,XOne,2014,Action,take two interactive,2.81,2.19,0.00,0.47,5.48,7.9,Rockstar North,M,low,12,recent
Mario Kart: Super Circuit,GBA,2001,Racing,nintendo,2.62,1.64,0.99,0.23,5.47,8.3,Intelligent Systems,E,low,25,old
Super Mario World,GBA,2001,Platform,nintendo,3.21,1.11,0.95,0.20,5.46,7.5,unknown,E,low,25,old
Pokemon Stadium,N64,1999,Strategy,nintendo,3.18,1.24,0.94,0.09,5.45,7.5,unknown,E,low,27,old
Crash Bandicoot: The Wrath of Cortex,PS2,2001,Platform,universal interactive,2.07,2.29,0.24,0.82,5.42,7.1,Traveller's Tales,E,low,25,old
Call of Duty: World at War,PS3,2008,Shooter,activision,2.73,1.83,0.00,0.83,5.39,7.6,Treyarch,M,low,18,old
Uncharted 4: A Thief's End,PS4,2016,Shooter,sony computer entertainment,1.85,2.50,0.19,0.85,5.38,7.9,Naughty Dog,T,low,10,recent
Dr. Mario,GB,1989,Puzzle,nintendo,2.18,0.96,2.00,0.20,5.34,7.5,unknown,E,low,37,old
Final Fantasy XIII,PS3,2009,Role-Playing,square enix,1.74,1.21,1.87,0.51,5.33,7.3,Square Enix,T,low,17,old
Pokemon Pinball,GB,1999,Misc,nintendo,3.02,1.12,1.01,0.16,5.31,7.5,unknown,E,low,27,old
Final Fantasy IX,PS,2000,Role-Playing,squaresoft,1.62,0.77,2.78,0.14,5.3,8.9,SquareSoft,T,low,26,old
Assassin's Creed III,X360,2012,Action,ubisoft,3.13,1.69,0.03,0.44,5.29,6.7,Ubisoft,M,low,14,recent
Final Fantasy X-2,PS2,2003,Role-Playing,electronic arts,1.92,1.08,2.11,0.17,5.29,6.6,SquareSoft,T,low,23,old
Donkey Kong 64,N64,1999,Platform,nintendo,3.33,0.79,1.09,0.06,5.27,7.5,unknown,E,low,27,old
Call of Duty: Advanced Warfare,XOne,2014,Shooter,activision,3.22,1.55,0.01,0.48,5.27,5.4,Sledgehammer Games,M,low,12,recent
Minecraft,PS3,2014,Misc,sony computer entertainment,2.03,2.37,0.00,0.87,5.26,7.5,unknown,E,low,12,recent
Assassin's Creed II,X360,2009,Action,ubisoft,3.11,1.55,0.08,0.51,5.26,8.8,Ubisoft Montreal,M,low,17,old
Tomb Raider II,PS,1997,Action,eidos interactive,2.30,2.46,0.20,0.28,5.24,7.5,Core Design Ltd.,T,low,29,old
Madden NFL 2004,PS2,2007,Sports,electronic arts,4.26,0.26,0.01,0.71,5.23,8.5,EA Tiburon,E,low,19,old
Tomodachi Life,3DS,2013,Simulation,nintendo,0.97,2.11,1.90,0.24,5.23,7.5,unknown,E,low,13,recent
New Super Mario Bros. U,WiiU,2012,Platform,nintendo,2.30,1.34,1.27,0.32,5.22,8.1,Nintendo,E,low,14,recent
Dragon Quest VIII: Journey of the Cursed King,PS2,2004,Role-Playing,square enix,0.65,0.75,3.61,0.20,5.21,8.8,Level 5,T,low,22,old
Super Mario Bros. 3,GBA,2003,Platform,nintendo,2.93,1.25,0.83,0.20,5.2,7.5,unknown,E,low,23,old
Professor Layton and the Curious Village,DS,2007,Puzzle,nintendo,1.21,2.43,1.03,0.52,5.19,8.6,Level 5,E,low,19,old
Super Mario Land 3: Wario Land,GB,1994,Platform,nintendo,2.49,0.98,1.57,0.15,5.19,7.5,unknown,E,low,32,old
FIFA Soccer 13,X360,2012,Action,electronic arts,1.09,3.47,0.03,0.57,5.16,6.1,Electronic Arts,E,low,14,recent
Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995,Platform,nintendo,2.10,0.74,2.20,0.11,5.15,7.5,unknown,E,low,31,old
Diablo III,PC,2012,Role-Playing,activision,2.44,2.16,0.00,0.54,5.14,4.0,Blizzard Entertainment,M,low,14,recent
Medal of Honor: Rising Sun,PS2,2003,Shooter,electronic arts,1.98,2.23,0.13,0.80,5.13,7.6,EA LA,T,low,23,old
Kirby's Dream Land,GB,1992,Platform,nintendo,2.71,0.61,1.70,0.11,5.13,7.5,unknown,E,low,34,old
Microsoft Flight Simulator,PC,1996,Simulation,microsoft game studios,3.22,1.69,0.00,0.20,5.12,7.5,unknown,E,low,30,old
Guitar Hero II,PS2,2006,Misc,redoctane,3.81,0.63,0.00,0.68,5.12,8.5,Harmonix Music Systems,T,low,20,old
Fable III,X360,2010,Role-Playing,microsoft game studios,3.59,1.08,0.05,0.38,5.1,6.5,Lionhead Studios,M,low,16,old
Mario & Sonic at the Olympic Games,DS,2008,Sports,sega,1.63,2.45,0.44,0.57,5.09,7.5,unknown,E,low,18,old
Resident Evil 5,PS3,2009,Action,capcom,1.96,1.41,1.08,0.64,5.09,7.5,Capcom,M,low,17,old
The Legend of Zelda: Phantom Hourglass,DS,2007,Action,nintendo,1.85,1.80,0.95,0.48,5.08,8.0,Nintendo,E,low,19,old
Super Mario Bros.,GB,1999,Platform,nintendo,3.40,1.30,0.15,0.22,5.07,7.5,unknown,E,low,27,old
FIFA Soccer 11,PS3,2010,Sports,electronic arts,0.61,3.28,0.06,1.12,5.07,8.0,EA Sports,E,low,16,old
Resident Evil,PS,1996,Action,virgin interactive,2.05,1.16,1.11,0.73,5.05,9.0,Capcom,M,low,30,old
